Dia,Hora Inicio,Hora Fin,Curso,Grupo,Aula,Profesor,Tipo Aula
Martes,08:00,12:30,DEEP LEARNING,C8-M-A,LAB-06,Patricia Huarancca,Laboratorio
Martes,13:15,17:45,MÉTODOS DE ESTUDIOS UNIVERSITARIOS,C1-M,AULA-40-04,Ricardo Flores,Teoria
Martes,13:15,17:00,HERRAMIENTAS DIGITALES,C2-T-A,LAB-08,Hugo Morán,Laboratorio
Martes,13:15,17:45,ESTRUCTURA DE DATOS,C2-T-B,LAB-01,Eddye Sanchez,Laboratorio
Martes,13:15,17:00,FUNDAMENTOS DE BASE DE DATOS,C4-M-B,LAB-07,Percy Salcedo,Laboratorio
Martes,13:15,16:15,ESTADÍSTICA Y PROBABILIDADES,C4-T,AULA-40-01,Nilo Colquepisco,Teoria
Martes,13:15,17:45,DISEÑO DE REDES DE COMUNICACIONES,C6-T-A,LAB-04,Jair Ferreyros,Laboratorio
Martes,13:15,17:45,DISEÑO DE REDES DE COMUNICACIONES,C6-T-B,LAB-05,Jose Sotelo,Laboratorio
Martes,13:15,17:45,DEEP LEARNING,C8-T-A,LAB-02,Patricia Huarancca,Laboratorio
Martes,13:15,17:45,DEEP LEARNING,C8-T-B,LAB-03,Joel Vilca,Laboratorio
Martes,14:00,18:30,MATEMÁTICA BÁSICA II,C2-M,AULA-40-05,Roger Diaz,Teoria
Martes,14:45,19:15,SEGURIDAD Y CRIPTOGRAFÍA,C8-M-B,LAB-06,Henry Alejos,Laboratorio
Martes,17:45,21:30,BUSINESS INTELLIGENCE,C10-NA1,LAB-07,Juan Hernandez,Laboratorio
Martes,17:45,20:45,AUDITORIA DE SISTEMAS,C10-NB1,AULA-40-02,Yuri Medina,Teoria
Martes,17:45,22:15,DISEÑO DE PROCESOS DE NEGOCIOS,C6-T-A,LAB-03,Jenny Reynoso,Laboratorio
Martes,17:45,22:15,DATA WAREHOUSE,C6-T-B,LAB-08,William Lopez,Laboratorio
Martes,17:45,22:15,GESTIÓN DE PROYECTOS,C8-T,AULA-40-06,Amanda Durán,Teoria
Miercoles,08:00,12:30,MATEMÁTICA BÁSICA I,C1-M,AULA-40-06,Juan Zuñiga,Teoria
Miercoles,08:00,11:00,DESARROLLO PERSONAL,C2-M,AULA-40-04,Erick Berrocal,Teoria
Miercoles,08:00,12:30,DESARROLLO WEB FULL STACK,C4-M-A,LAB-01,Henry Alejos,Laboratorio
Miercoles,08:00,11:00,CONFIGURACIÓN DE SERVIDORES,C6-M-A,LAB-05,Leónidas Asto,Laboratorio
Miercoles,08:00,12:30,DISEÑO DE REDES DE COMUNICACIONES,C6-M-B,LAB-07,Jair Ferreyros,Laboratorio
Miercoles,08:00,12:30,TESTING Y ASEGURAMIENTO DE LA CALIDAD EN DESARROLLO DE SOFTWARE,C8-M-A,LAB-08,Wilson Candia,Laboratorio
Miercoles,08:00,12:30,INTERNET DE LAS COSAS,C8-M-B,LAB-04,Jose Sotelo,Laboratorio
Miercoles,13:15,17:45,DIBUJO CAD,C2-T-A,LAB-07,Renee Rivera,Laboratorio
Miercoles,13:15,16:15,CULTURA AMBIENTAL Y RESPONSABILIDAD SOCIAL,C4-M,AULA-40-06,Klaus Yangali,Teoria
Miercoles,13:15,17:00,FUNDAMENTOS DE BASE DE DATOS,C4-T-A,LAB-03,Percy Salcedo,Laboratorio
Miercoles,13:15,17:00,SISTEMAS DIGITALES,C4-T-B,LAB-06,Marisol Daga,Laboratorio
